"","tissue","Term_unique","n"
"156","ctenidia","nucleobase-containing small molecule metabolic process",79
"157","heart","microtubule-based movement",78
"158","ctenidia","microtubule-based movement",76
"159","gonad","microtubule-based movement",75
"160","juvenile","muscle system process",74
"161","gonad","nucleobase-containing small molecule metabolic process",73
"162","juvenile","chromosome segregation",73
"163","juvenile","inflammatory response",71
"164","larvae","chromosome segregation",70
"165","gonad","chromosome segregation",69
"166","juvenile","DNA recombination",69
"167","larvae","muscle system process",69
"168","ctenidia","chromosome segregation",68
"169","heart","chromosome segregation",67
"170","juvenile","mitotic nuclear division",67
"171","juvenile","protein maturation",66
"172","larvae","DNA recombination",66
"173","larvae","inflammatory response",66
"174","larvae","mitotic nuclear division",65
"175","ctenidia","DNA recombination",64
"176","gonad","DNA recombination",64
"177","ctenidia","mitotic nuclear division",63
"178","heart","muscle system process",63
"179","juvenile","generation of precursor metabolites and energy",63
"180","juvenile","nucleocytoplasmic transport",63
"181","gonad","mitotic nuclear division",62
"182","heart","DNA recombination",62
"183","heart","generation of precursor metabolites and energy",62
"184","juvenile","sulfur compound metabolic process",62
"185","larvae","generation of precursor metabolites and energy",62
"186","larvae","protein maturation",62
"187","ctenidia","generation of precursor metabolites and energy",61
"188","ctenidia","inflammatory response",61
"189","heart","inflammatory response",61
"190","heart","nucleocytoplasmic transport",61
"191","larvae","nucleocytoplasmic transport",61
"192","larvae","sulfur compound metabolic process",61
"193","ctenidia","nucleocytoplasmic transport",59
"194","ctenidia","protein maturation",59
"195","heart","mitotic nuclear division",59
"196","juvenile","chromatin organization",59
"197","ctenidia","muscle system process",58
"198","gonad","generation of precursor metabolites and energy",58
"199","juvenile","establishment or maintenance of cell polarity",58
"200","ctenidia","establishment or maintenance of cell polarity",57
"201","juvenile","DNA replication",57
"202","larvae","DNA replication",57
"203","larvae","establishment or maintenance of cell polarity",57
"204","ctenidia","DNA replication",56
"205","ctenidia","chromatin organization",56
"206","heart","chromatin organization",56
"207","larvae","chromatin organization",56
"208","gonad","nucleocytoplasmic transport",55
"209","heart","protein maturation",55
"210","gonad","DNA replication",54
"211","gonad","chromatin organization",54
"212","gonad","inflammatory response",54
"213","gonad","sulfur compound metabolic process",54
"214","heart","sulfur compound metabolic process",54
"215","ctenidia","sulfur compound metabolic process",53
"216","gonad","muscle system process",53
"217","gonad","cytokinesis",52
"218","heart","DNA replication",52
"219","heart","cytokinesis",52
"220","heart","establishment or maintenance of cell polarity",52
"221","juvenile","cytokinesis",52
"222","larvae","cytokinesis",52
"223","ctenidia","cytokinesis",51
"224","gonad","protein maturation",50
"225","juvenile","telomere organization",49
"226","larvae","telomere organization",49
"227","ctenidia","telomere organization",48
"228","gonad","establishment or maintenance of cell polarity",46
"229","heart","telomere organization",46
"230","juvenile","cellular amino acid metabolic process",45
"231","juvenile","cellular modified amino acid metabolic process",45
"232","larvae","cellular modified amino acid metabolic process",44
"233","gonad","telomere organization",43
"234","larvae","cellular amino acid metabolic process",43
"235","juvenile","meiotic nuclear division",41
"236","juvenile","wound healing",41
"237","heart","protein localization to plasma membrane",40
"238","juvenile","protein localization to plasma membrane",40
"239","heart","cellular amino acid metabolic process",39
"240","heart","cellular modified amino acid metabolic process",39
"241","juvenile","protein glycosylation",39
"242","larvae","protein localization to plasma membrane",39
"243","ctenidia","protein localization to plasma membrane",38
"244","gonad","cellular amino acid metabolic process",38
"245","gonad","protein localization to plasma membrane",38
"246","larvae","meiotic nuclear division",38
"247","larvae","wound healing",38
"248","ctenidia","cellular modified amino acid metabolic process",37
"249","gonad","cellular modified amino acid metabolic process",37
"250","heart","meiotic nuclear division",37
"251","larvae","protein glycosylation",37
"252","ctenidia","cellular amino acid metabolic process",36
"253","ctenidia","meiotic nuclear division",36
"254","gonad","meiotic nuclear division",36
"255","ctenidia","ribosome biogenesis",35
"256","heart","ribosome biogenesis",35
"257","juvenile","ribosome biogenesis",35
"258","larvae","ribosome biogenesis",35
"259","gonad","ribosome biogenesis",33
"260","juvenile","renal system process",33
"261","ctenidia","protein glycosylation",32
"262","ctenidia","wound healing",32
"263","gonad","protein glycosylation",32
"264","heart","wound healing",32
"265","gonad","wound healing",31
"266","heart","protein glycosylation",31
"267","larvae","renal system process",30
"268","juvenile","extracellular matrix organization",29
"269","juvenile","digestive system process",27
"270","heart","renal system process",26
"271","ctenidia","renal system process",25
"272","juvenile","vitamin metabolic process",25
"273","juvenile","gene silencing by RNA",24
"274","larvae","extracellular matrix organization",24
"275","larvae","vitamin metabolic process",24
"276","ctenidia","tRNA metabolic process",23
"277","heart","gene silencing by RNA",23
"278","heart","tRNA metabolic process",23
"279","juvenile","endocrine process",23
"280","juvenile","tRNA metabolic process",23
"281","larvae","gene silencing by RNA",23
"282","larvae","tRNA metabolic process",23
"283","ctenidia","gene silencing by RNA",22
"284","gonad","gene silencing by RNA",22
"285","gonad","tRNA metabolic process",22
"286","larvae","endocrine process",22
"287","heart","extracellular matrix organization",21
"288","larvae","digestive system process",21
"289","ctenidia","vitamin metabolic process",20
"290","heart","digestive system process",19
"291","ctenidia","extracellular matrix organization",18
"292","gonad","renal system process",18
"293","heart","vitamin metabolic process",18
"294","gonad","extracellular matrix organization",17
"295","ctenidia","protein folding",16
"296","gonad","protein folding",16
"297","gonad","vitamin metabolic process",16
"298","heart","endocrine process",16
"299","heart","protein folding",16
"300","juvenile","protein folding",16
"301","larvae","protein folding",16
"302","ctenidia","digestive system process",15
"303","ctenidia","cytoplasmic translation",14
"304","ctenidia","endocrine process",14
"305","gonad","cytoplasmic translation",14
"306","gonad","digestive system process",14
"307","heart","cytoplasmic translation",14
"308","juvenile","cytoplasmic translation",14
"309","juvenile","lysosome organization",14
"310","larvae","cytoplasmic translation",14
"311","larvae","lysosome organization",14
"312","ctenidia","lysosome organization",13
"313","ctenidia","mitochondrial gene expression",13
"314","heart","lysosome organization",13
"315","heart","mitochondrial gene expression",13
"316","juvenile","mitochondrial gene expression",13
"317","larvae","mitochondrial gene expression",13
"318","ctenidia","snRNA metabolic process",12
"319","gonad","endocrine process",12
"320","gonad","lysosome organization",12
"321","gonad","mitochondrial gene expression",12
"322","gonad","snRNA metabolic process",12
"323","heart","snRNA metabolic process",12
"324","juvenile","snRNA metabolic process",12
"325","larvae","snRNA metabolic process",12
"326","ctenidia","detoxification",10
"327","gonad","detoxification",10
"328","heart","detoxification",10
"329","juvenile","detoxification",10
"330","juvenile","respiratory system process",10
"331","larvae","detoxification",10
"332","larvae","respiratory system process",10
"333","ctenidia","respiratory system process",9
"334","heart","respiratory system process",9
"335","ctenidia","cell wall organization or biogenesis",8
"336","gonad","respiratory system process",8
"337","juvenile","cell wall organization or biogenesis",8
"338","larvae","cell wall organization or biogenesis",8
"339","heart","cell wall organization or biogenesis",7
"340","ctenidia","peroxisome organization",6
"341","gonad","cell wall organization or biogenesis",6
"342","gonad","peroxisome organization",6
"343","heart","peroxisome organization",6
"344","juvenile","peroxisome organization",6
"345","larvae","peroxisome organization",6
"346","juvenile","GO:0006629",3
"347","juvenile","nitrogen cycle metabolic process",3
"348","larvae","GO:0006629",3
"349","larvae","nitrogen cycle metabolic process",3
"350","ctenidia","GO:0006629",2
"351","ctenidia","GO:0055086",2
"352","gonad","GO:0055086",2
"353","gonad","nitrogen cycle metabolic process",2
"354","heart","GO:0002376",2
"355","heart","GO:0006629",2
"356","heart","GO:0016071",2
"357","heart","GO:0023052",2
"358","heart","GO:0048856",2
"359","heart","GO:0055086",2
"360","heart","GO:0098542",2
"361","heart","nitrogen cycle metabolic process",2
"362","juvenile","GO:0002376",2
"363","juvenile","GO:0016071",2
"364","juvenile","GO:0023052",2
"365","juvenile","GO:0048856",2
"366","juvenile","GO:0055086",2
"367","juvenile","GO:0098542",2
"368","larvae","GO:0002376",2
"369","larvae","GO:0016071",2
"370","larvae","GO:0023052",2
"371","larvae","GO:0048856",2
"372","larvae","GO:0098542",2
"373","ctenidia","",1
"374","ctenidia","GO:0005975",1
"375","ctenidia","GO:0006766",1
"376","ctenidia","GO:0006790",1
"377","ctenidia","GO:0016021",1
"378","ctenidia","GO:0016071",1
"379","ctenidia","GO:0033644",1
"380","ctenidia","GO:0044172",1
"381","ctenidia","GO:0044220",1
"382","ctenidia","GO:0048856",1
"383","ctenidia","GO:1901135",1
"384","ctenidia","NA",1
"385","ctenidia","nitrogen cycle metabolic process",1
"386","gonad","",1
"387","gonad","GO:0005975",1
"388","gonad","GO:0006629",1
"389","gonad","GO:0006766",1
"390","gonad","GO:0006790",1
"391","gonad","GO:0016021",1
"392","gonad","GO:0016071",1
"393","gonad","GO:0033644",1
"394","gonad","GO:0044172",1
"395","gonad","GO:0044220",1
"396","gonad","GO:0048856",1
"397","gonad","GO:1901135",1
"398","gonad","NA",1
"399","heart","",1
"400","heart","GO:0005975",1
"401","heart","GO:0006766",1
"402","heart","GO:0006790",1
"403","heart","GO:0006914",1
