"","transcriptome","Term_unique","n_species","n_divided","n_Pgen","Pgen_normalized","normalized","log_scale"
"232","Mercenaria_r","chromosome segregation",53,0.007542336701295,140,0.00794957696893987,0.948772083189331,-0.052586674454295
"233","Mercenaria_r","DNA recombination",52,0.00740002846164793,124,0.00704105388677531,1.05098307450066,0.049725987579278
"234","Mercenaria_r","chromatin organization",48,0.00683079550305963,115,0.00653000965305775,1.04606208351637,0.0450327171475284
"235","Mercenaria_r","generation of precursor metabolites and energy",46,0.00654617902376548,105,0.0059621827267049,1.0979500836908,0.0934448809344591
"236","Mercenaria_r","DNA replication",45,0.0064038707841184,102,0.00579183464879905,1.10567223901087,0.100453511088936
"237","Mercenaria_r","nucleocytoplasmic transport",44,0.00626156254447132,108,0.00613253080461075,1.0210405367656,0.020822241396929
"238","Mercenaria_r","inflammatory response",43,0.00611925430482425,135,0.00766566350576344,0.79826805601674,-0.22531082814198
"239","Mercenaria_r","mitotic nuclear division",43,0.00611925430482425,132,0.00749531542785759,0.816410511835302,-0.202837972289921
"240","Mercenaria_r","cytokinesis",42,0.00597694606517717,96,0.00545113849298734,1.09645830368578,0.0920852614184197
"241","Mercenaria_r","muscle system process",42,0.00597694606517717,127,0.00721140196468116,0.828818875227049,-0.187753633572335
