"","tissue","Term_unique","n_tissue","n_divided","n_Pgen","Pgen_normalized","normalized","log_scale"
"55","larvae","protein-containing complex assembly",424,0.0254930254930255,444,0.0252115155300664,1.01116592783259,0.0111040490569695
"56","gonad","reproductive process",423,0.0287461773700306,536,0.0304355232525126,0.944494271760464,-0.0571056568970119
"57","heart","protein-containing complex assembly",421,0.0262780101117284,444,0.0252115155300664,1.04230188305777,0.0414316163985276
"58","ctenidia","protein-containing complex assembly",419,0.0263339827792094,444,0.0252115155300664,1.04452200613661,0.0435593703771418
"59","gonad","vesicle-mediated transport",402,0.0273190621814475,484,0.0274828232354778,0.994041330738578,-0.00597649297009853
"60","gonad","protein-containing complex assembly",379,0.0257560312606184,444,0.0252115155300664,1.02159789759178,0.0213679677777137
"61","juvenile","cell adhesion",379,0.0219366788215547,387,0.0219749020498552,0.998260596192246,-0.00174091832705228
"62","larvae","cell adhesion",361,0.0217051467051467,387,0.0219749020498552,0.987724389210177,-0.0123515784396645
"63","juvenile","mitotic cell cycle",356,0.0206054291833073,363,0.0206121174266084,0.999675518862878,-0.000324533792517072
"64","juvenile","nervous system process",348,0.0201423858308734,358,0.0203282039634319,0.990859097395284,-0.00918293700592284
"65","larvae","mitotic cell cycle",348,0.0209235209235209,363,0.0206121174266084,1.01510778783506,0.0149948017668599
"66","juvenile","lipid metabolic process",346,0.0200266249927649,352,0.0199875078076202,1.00195708166927,0.00195516907993038
"67","ctenidia","mitotic cell cycle",344,0.0216202627113318,363,0.0206121174266084,1.04891032123764,0.0477518359957764
"68","ctenidia","cell adhesion",342,0.0214945635095217,387,0.0219749020498552,0.978141493452679,-0.022100943079948
"69","heart","cell adhesion",341,0.0212845640097372,387,0.0219749020498552,0.968585159626569,-0.031918870597894
"70","heart","mitotic cell cycle",334,0.020847637475813,363,0.0206121174266084,1.01142629087202,0.0113615038602206
"71","larvae","lipid metabolic process",333,0.020021645021645,352,0.0199875078076202,1.00170792748918,0.00170647063958321
"72","larvae","nervous system process",327,0.0196608946608947,358,0.0203282039634319,0.967173228695575,-0.0333776592462105
"73","heart","lipid metabolic process",321,0.0200362024842394,352,0.0199875078076202,1.0024362555396,0.00243329268028969
"74","juvenile","transmembrane transport",321,0.0185796145164091,330,0.018738288569644,0.991532094692365,-0.00850396171020699
"75","ctenidia","lipid metabolic process",317,0.0199233234868959,352,0.0199875078076202,0.996788778203758,-0.00321638883358772
"76","gonad","mitotic cell cycle",316,0.0214746856948692,363,0.0206121174266084,1.04184763022684,0.0409957044495734
"77","gonad","cell adhesion",305,0.0207271491675161,387,0.0219749020498552,0.943219183434436,-0.0584565912948581
"78","heart","nervous system process",304,0.0189750951875663,358,0.0203282039634319,0.933436875274387,-0.0688819398461077
"79","ctenidia","nervous system process",298,0.0187291810697002,358,0.0203282039634319,0.921339686643828,-0.081926487008067
"80","juvenile","protein catabolic process",297,0.0171904844591075,302,0.017148373175856,1.00245570135544,0.0024526910481331
"81","larvae","transmembrane transport",296,0.0177970177970178,330,0.018738288569644,0.949767516434183,-0.0515380438792292
"82","juvenile","carbohydrate derivative metabolic process",295,0.017074723620999,301,0.0170915904832207,0.999013148469813,-0.000987338788752672
"83","larvae","protein catabolic process",294,0.0176767676767677,302,0.017148373175856,1.03081309786608,0.0303479062210485
"84","ctenidia","protein catabolic process",291,0.018289233863365,302,0.017148373175856,1.06652879989311,0.0644092626838517
"85","heart","protein catabolic process",291,0.0181636601959928,302,0.017148373175856,1.05920602553519,0.0575195949449938
"86","gonad","lipid metabolic process",290,0.0197077811756711,352,0.0199875078076202,0.986004926945294,-0.0140939274900653
"87","juvenile","defense response to other organism",289,0.0167274411066736,294,0.0166941116347737,1.00199648071302,0.00199449039405389
"88","larvae","carbohydrate derivative metabolic process",288,0.0173160173160173,301,0.0170915904832207,1.01313083372884,0.0130453716443067
"89","heart","transmembrane transport",285,0.0177891517383434,330,0.018738288569644,0.949347731102927,-0.0519801290435045
"90","juvenile","cell junction organization",277,0.0160328760780228,279,0.0158423712452445,1.01202502010774,0.011953293986276
"91","ctenidia","transmembrane transport",274,0.0172207906479794,330,0.018738288569644,0.919016194247167,-0.084451535185227
"92","gonad","protein catabolic process",274,0.018620455317703,302,0.017148373175856,1.08584383642407,0.0823574141407127
"93","juvenile","membrane organization",272,0.0157434739827516,278,0.0157855885526092,0.997332087446903,-0.00267147777433647
"94","larvae","defense response to other organism",272,0.0163540163540164,294,0.0166941116347737,0.979627829967966,-0.0205825447854479
"95","heart","carbohydrate derivative metabolic process",269,0.0167904625179452,301,0.0170915904832207,0.982381512968548,-0.0177755399986657
"96","ctenidia","defense response to other organism",268,0.0168436930425492,294,0.0166941116347737,1.00896012983787,0.0089202260594038
"97","heart","defense response to other organism",268,0.0167280444416703,294,0.0166941116347737,1.00203262130019,0.00203055832054602
"98","ctenidia","carbohydrate derivative metabolic process",264,0.016592294638929,301,0.0170915904832207,0.970787046133486,-0.0296481487153308
"99","larvae","membrane organization",264,0.0158730158730159,278,0.0157855885526092,1.00553842640174,0.00552314571291546
"100","larvae","cell junction organization",260,0.0156325156325156,279,0.0158423712452445,0.986753522595817,-0.0133349945486015
"101","heart","membrane organization",259,0.0161662817551963,278,0.0157855885526092,1.02411650356389,0.0238302931572717
"102","gonad","nervous system process",257,0.017465171593612,358,0.0203282039634319,0.859159600377375,-0.151800576377968
"103","ctenidia","membrane organization",254,0.0159637986298787,278,0.0157855885526092,1.01128941608199,0.0112261662151283
"104","heart","cell junction organization",252,0.0157293552212721,279,0.0158423712452445,0.99286621792768,-0.00715934916157139
"105","gonad","carbohydrate derivative metabolic process",251,0.0170574243968739,301,0.0170915904832207,0.998001000177232,-0.0020010004895797
"106","ctenidia","cell junction organization",249,0.0156495506253535,279,0.0158423712452445,0.987828803093552,-0.0122458724694295
"107","gonad","transmembrane transport",248,0.0168535507985049,330,0.018738288569644,0.899417827613546,-0.106007583168032
"108","gonad","defense response to other organism",247,0.0167855929323819,294,0.0166941116347737,1.00547985419108,0.00546489441680774
"109","gonad","membrane organization",232,0.0157662249405369,278,0.0157855885526092,0.998773336071204,-0.00122741689681501
"110","gonad","cell junction organization",227,0.0154264356099218,279,0.0158423712452445,0.973745367477898,-0.0266054392124509
"111","juvenile","intracellular protein transport",218,0.012617931353823,219,0.0124354096871274,1.01467757567204,0.0145709025928913
"112","larvae","intracellular protein transport",213,0.0128066378066378,219,0.0124354096871274,1.02985250416757,0.0294155921501606
"113","heart","intracellular protein transport",211,0.0131702140940016,219,0.0124354096871274,1.05908968223499,0.0574097488079368
"114","ctenidia","intracellular protein transport",208,0.0130727169882471,219,0.0124354096871274,1.05124940127863,0.0499793627720459
"115","gonad","intracellular protein transport",196,0.0133197417601087,219,0.0124354096871274,1.07111402802409,0.0686992545415285
"116","juvenile","mRNA metabolic process",193,0.0111709208774672,197,0.0111861904491511,0.998634962299868,-0.0013659702127997
"117","larvae","mRNA metabolic process",189,0.0113636363636364,197,0.0111861904491511,1.01586294416244,0.0157384425788902
"118","heart","mRNA metabolic process",188,0.0117345983396792,197,0.0111861904491511,1.04902543837609,0.0478615792403317
"119","ctenidia","mRNA metabolic process",187,0.0117528753692414,197,0.0111861904491511,1.05065933059751,0.0494179010038269
"120","juvenile","circulatory system process",182,0.0105342362678706,189,0.0107319289080688,0.981579020706184,-0.018592758362544
"121","gonad","mRNA metabolic process",180,0.0122324159021407,197,0.0111861904491511,1.09352830686599,0.0894094472797339
"122","juvenile","cilium organization",178,0.0103027145916536,178,0.0101073192890807,1.01933205996411,0.0191475696203033
"123","juvenile","DNA repair",177,0.0102448341725994,181,0.0102776673669865,0.996805384605791,-0.00319972907169346
"124","larvae","DNA repair",176,0.0105820105820106,181,0.0102776673669865,1.02961209038557,0.0291821200295624
"125","larvae","cilium organization",175,0.0105218855218855,178,0.0101073192890807,1.0410164377861,0.0401975798886654
"126","ctenidia","cilium organization",174,0.010935830557476,178,0.0101073192890807,1.08197141543657,0.0787847618096725
"127","heart","cilium organization",174,0.0108607452718307,178,0.0101073192890807,1.07454261225961,0.0718950940708149
"128","ctenidia","DNA repair",173,0.0108729809565709,181,0.0102776673669865,1.05792302555895,0.0563075761191818
"129","heart","DNA repair",170,0.0106110729667312,181,0.0102776673669865,1.03243981224919,0.0319247509328069
"130","gonad","DNA repair",168,0.0114169215086646,181,0.0102776673669865,1.11084753971874,0.105123273264945
"131","juvenile","nucleobase-containing small molecule metabolic process",168,0.0097239104011113,172,0.00976662313326898,0.995626663220763,-0.00438292778989095
"132","gonad","cilium organization",167,0.0113489636425416,178,0.0101073192890807,1.1228460601618,0.115866587252182
"133","larvae","nucleobase-containing small molecule metabolic process",167,0.010040885040885,172,0.00976662313326898,1.02808154915713,0.0276944918605386
"134","larvae","circulatory system process",165,0.00992063492063492,189,0.0107319289080688,0.924403712102125,-0.0786063849018255
"135","juvenile","mitochondrion organization",164,0.00949238872489437,168,0.00953949236272784,0.995062249012588,-0.0049499819587574
"136","larvae","mitochondrion organization",163,0.0098003848003848,168,0.00953949236272784,1.02734867094986,0.0269813776607397
"137","heart","mitochondrion organization",162,0.0101117283565321,168,0.00953949236272784,1.05998600051718,0.0582557009774961
"138","heart","nucleobase-containing small molecule metabolic process",161,0.0100493102802572,172,0.00976662313326898,1.02894420549773,0.0285332333193808
"139","ctenidia","mitochondrion organization",160,0.0100559361448055,168,0.00953949236272784,1.05413744908434,0.0527228487177967
"140","juvenile","autophagy",159,0.0092029866296232,161,0.00914201351428085,1.00666954990245,0.00664740685607163
"141","juvenile","carbohydrate metabolic process",159,0.0092029866296232,159,0.00902844812901028,1.01933205996411,0.0191475696203033
"142","ctenidia","nucleobase-containing small molecule metabolic process",158,0.00993023694299541,172,0.00976662313326898,1.01675234187844,0.0166135691007424
"143","juvenile","microtubule-based movement",157,0.00908722579151473,161,0.00914201351428085,0.994007039840782,-0.00601099001585179
"144","heart","circulatory system process",155,0.00967480182260783,189,0.0107319289080688,0.901497010042045,-0.103698552992025
"145","larvae","autophagy",155,0.00931938431938432,161,0.00914201351428085,1.01940172204147,0.0192159081920199
"146","larvae","carbohydrate metabolic process",155,0.00931938431938432,159,0.00902844812901028,1.03222438521181,0.0317160709562514
"147","ctenidia","autophagy",154,0.00967883853937528,161,0.00914201351428085,1.05872065538471,0.0570612503163949
"148","gonad","nucleobase-containing small molecule metabolic process",154,0.0104655113829426,172,0.00976662313326898,1.07155884281978,0.0691144507276882
"149","heart","autophagy",154,0.00961238374633294,161,0.00914201351428085,1.05145149165633,0.0501715825775372
"150","gonad","mitochondrion organization",153,0.0103975535168196,168,0.00953949236272784,1.08994830348041,0.0861302671166887
"151","larvae","microtubule-based movement",153,0.0091991341991342,161,0.00914201351428085,1.00624815143449,0.00622871266520877
"152","ctenidia","circulatory system process",149,0.0093645905348501,189,0.0107319289080688,0.872591555075371,-0.136287696226955
"153","heart","microtubule-based movement",149,0.00930029336495849,161,0.00914201351428085,1.01731345621294,0.017165286109367
"154","ctenidia","microtubule-based movement",148,0.00930174093394507,161,0.00914201351428085,1.01747179868141,0.0173209216668807
"155","ctenidia","carbohydrate metabolic process",147,0.00923889133304004,159,0.00902844812901028,1.02330890104508,0.0230413974457336
"156","gonad","autophagy",145,0.00985389058783554,161,0.00914201351428085,1.07786874001473,0.0749857025636234
"157","heart","carbohydrate metabolic process",143,0.00892578490730916,159,0.00902844812901028,0.988628918255482,-0.0114362268119532
"158","gonad","microtubule-based movement",141,0.00958205912334353,161,0.00914201351428085,1.04813442994536,0.0470118505212172
"159","gonad","circulatory system process",140,0.00951410125722052,189,0.0107319289080688,0.886522948364606,-0.120448267322826
"160","juvenile","chromosome segregation",137,0.00792961741043005,140,0.00794957696893987,0.99748923010774,-0.00251392716087633
"161","gonad","carbohydrate metabolic process",134,0.0091063540604825,159,0.00902844812901028,1.00862893936577,0.00859192285819207
"162","larvae","chromosome segregation",134,0.00805675805675806,140,0.00794957696893987,1.01348261526833,0.0133925335988435
"163","juvenile","inflammatory response",132,0.00764021531515888,135,0.00766566350576344,0.996680236409356,-0.00332528623175538
"164","ctenidia","chromosome segregation",131,0.00823329771855949,140,0.00794957696893987,1.03569004372537,0.0350679134790759
"165","gonad","chromosome segregation",131,0.00890248046211349,140,0.00794957696893987,1.11986845298772,0.113211225719359
"166","juvenile","mitotic nuclear division",131,0.00758233489610465,132,0.00749531542785759,1.01160984738863,0.0115429702350838
"167","heart","chromosome segregation",130,0.0081143499157356,140,0.00794957696893987,1.02072725975728,0.0205153729946489
"168","ctenidia","mitotic nuclear division",127,0.00798189931493935,132,0.00749531542785759,1.06491840026816,0.062898176759449
"169","larvae","inflammatory response",127,0.00763588263588264,135,0.00766566350576344,0.99611503037429,-0.00389253572260182
"170","larvae","mitotic nuclear division",127,0.00763588263588264,132,0.00749531542785759,1.01875400833734,0.0185803201294568
"171","heart","mitotic nuclear division",124,0.00773984145808626,132,0.00749531542785759,1.03262384786634,0.032102988167037
"172","juvenile","muscle system process",123,0.00711929154367078,127,0.00721140196468116,0.987227113193591,-0.0128551614658707
"173","juvenile","DNA recombination",122,0.00706141112461654,124,0.00704105388677531,1.00289122028727,0.00288704874852278
"174","gonad","mitotic nuclear division",120,0.00815494393476045,132,0.00749531542785759,1.08800543662929,0.0843461453231873
"175","ctenidia","inflammatory response",119,0.00747910250769908,135,0.00766566350576344,0.975662772319174,-0.0246382724396714
"176","larvae","DNA recombination",119,0.00715488215488216,124,0.00704105388677531,1.01616636798088,0.0160370837637289
"177","ctenidia","DNA recombination",116,0.00729055370498397,124,0.00704105388677531,1.03543501047155,0.0348216383885564
"178","larvae","muscle system process",116,0.00697450697450697,127,0.00721140196468116,0.967149939590884,-0.0334017390949903
"179","heart","inflammatory response",115,0.00717807877161226,135,0.00766566350576344,0.936393668495285,-0.0657193049268084
"180","gonad","DNA recombination",114,0.00774719673802243,124,0.00704105388677531,1.10028936897833,0.0955732079169707
"181","heart","DNA recombination",114,0.00711566069533737,124,0.00704105388677531,1.01059597181925,0.0105402279378297
"182","juvenile","chromatin organization",113,0.00654048735312844,115,0.00653000965305775,1.00160454587778,0.00160325996939353
"183","heart","chromatin organization",110,0.00686598839023781,115,0.00653000965305775,1.05145149165633,0.0501715825775369
"184","juvenile","sulfur compound metabolic process",109,0.0063089656769115,109,0.00618931349724604,1.01933205996411,0.0191475696203031
"185","ctenidia","chromatin organization",108,0.0067877568977437,115,0.00653000965305775,1.03947118892317,0.0387121116481984
"186","juvenile","nucleocytoplasmic transport",108,0.00625108525785727,108,0.00613253080461075,1.01933205996411,0.0191475696203033
"187","larvae","chromatin organization",108,0.00649350649350649,115,0.00653000965305775,0.994409937888199,-0.00560574498179399
"188","heart","nucleocytoplasmic transport",106,0.00661631608513826,108,0.00613253080461075,1.07888835717935,0.0759312121362185
"189","juvenile","protein maturation",106,0.0061353244197488,107,0.00607574811197547,1.00980559211398,0.00975782927046403
"190","larvae","nucleocytoplasmic transport",106,0.00637325637325637,108,0.00613253080461075,1.03925387027239,0.0385030232450838
"191","larvae","sulfur compound metabolic process",106,0.00637325637325637,109,0.00618931349724604,1.02971943109558,0.0292863681401599
"192","gonad","chromatin organization",105,0.00713557594291539,115,0.00653000965305775,1.09273589504942,0.0886845469217852
"193","heart","muscle system process",105,0.00655389800886337,127,0.00721140196468116,0.908824392394431,-0.0956033911526969
"194","juvenile","establishment or maintenance of cell polarity",105,0.00607744400069456,105,0.0059621827267049,1.01933205996411,0.0191475696203031
"195","juvenile","generation of precursor metabolites and energy",105,0.00607744400069456,105,0.0059621827267049,1.01933205996411,0.0191475696203031
"196","ctenidia","muscle system process",104,0.00653635849412356,127,0.00721140196468116,0.90639220031504,-0.0982831744299898
"197","ctenidia","nucleocytoplasmic transport",104,0.00653635849412356,108,0.00613253080461075,1.0658500874075,0.0637726849043817
"198","larvae","generation of precursor metabolites and energy",103,0.00619288119288119,105,0.0059621827267049,1.03869362559839,0.0379637943293487
"199","gonad","inflammatory response",102,0.00693170234454638,135,0.00766566350576344,0.904253407331899,-0.100645640026646
"200","heart","generation of precursor metabolites and energy",102,0.0063666437800387,105,0.0059621827267049,1.06783774866916,0.0656358082751187
"201","larvae","establishment or maintenance of cell polarity",102,0.00613275613275613,105,0.0059621827267049,1.02860922146636,0.0282076193839842
"202","ctenidia","establishment or maintenance of cell polarity",101,0.00634780969140846,105,0.0059621827267049,1.06467882357518,0.0626731795709647
"203","heart","establishment or maintenance of cell polarity",100,0.00624180762748892,105,0.0059621827267049,1.04689975359721,0.0458331809789389
"204","heart","sulfur compound metabolic process",100,0.00624180762748892,109,0.00618931349724604,1.00848141401566,0.00844564890731847
"205","larvae","protein maturation",100,0.00601250601250601,107,0.00607574811197547,0.989591059684518,-0.0104634922165785
"206","ctenidia","DNA replication",99,0.00622211048959839,102,0.00579183464879905,1.07429007678742,0.0716600497375476
"207","ctenidia","generation of precursor metabolites and energy",99,0.00622211048959839,105,0.0059621827267049,1.0435960745935,0.0426725128642953
"208","ctenidia","protein maturation",99,0.00622211048959839,107,0.00607574811197547,1.02408960590951,0.0238040285599124
"209","gonad","generation of precursor metabolites and energy",99,0.00672782874617737,105,0.0059621827267049,1.12841706713266,0.120815825104579
"210","juvenile","DNA replication",99,0.00573016148636916,102,0.00579183464879905,0.989351705259287,-0.010705393529378
"211","heart","protein maturation",98,0.00611697147493914,107,0.00607574811197547,1.00678490322573,0.00676198935703672
"212","larvae","DNA replication",98,0.00589225589225589,102,0.00579183464879905,1.01733841684822,0.0171898216435373
"213","ctenidia","sulfur compound metabolic process",97,0.00609641128778832,109,0.00618931349724604,0.984989900818717,-0.0151238908385323
"214","gonad","nucleocytoplasmic transport",97,0.00659191301393136,108,0.00613253080461075,1.07490907489209,0.0722360765066753
"215","gonad","DNA replication",96,0.00652395514780836,102,0.00579183464879905,1.12640562851032,0.119031703311077
"216","gonad","sulfur compound metabolic process",96,0.00652395514780836,109,0.00618931349724604,1.05406765236746,0.0526566343662046
"217","heart","DNA replication",94,0.00586729916983959,102,0.00579183464879905,1.01302946745142,0.0129453141341038
"218","juvenile","cytokinesis",91,0.00526711813393529,96,0.00545113849298734,0.96624184850765,-0.0343411153306831
"219","juvenile","wound healing",91,0.00526711813393529,97,0.00550792118562262,0.956280592337468,-0.0447039023662296
"220","larvae","cytokinesis",91,0.00547138047138047,96,0.00545113849298734,1.00371334876543,0.00370647130625025
"221","gonad","muscle system process",90,0.00611620795107034,127,0.00721140196468116,0.848130222254328,-0.164721091000814
"222","heart","cytokinesis",90,0.00561762686474003,96,0.00545113849298734,1.03054194494726,0.0300848240107999
"223","ctenidia","cytokinesis",89,0.00559361448054805,96,0.00545113849298734,1.02613692309304,0.0258011911515323
"224","gonad","cytokinesis",87,0.00591233435270133,96,0.00545113849298734,1.08460541963982,0.0812162523142596
"225","gonad","establishment or maintenance of cell polarity",86,0.00584437648657832,105,0.0059621827267049,0.980241088620293,-0.0199567287765036
"226","gonad","protein maturation",86,0.00584437648657832,107,0.00607574811197547,0.961918825281596,-0.0388252130808865
"227","juvenile","cellular amino acid metabolic process",86,0.00497771603866412,88,0.00499687695190506,0.996165422237657,-0.00384194860439555
"228","larvae","wound healing",86,0.00517075517075517,97,0.00550792118562262,0.938785250640921,-0.0631685259926388
"229","larvae","cellular amino acid metabolic process",83,0.00499037999037999,88,0.00499687695190506,0.998699795574796,-0.00130105042437214
"230","heart","cellular amino acid metabolic process",81,0.00505586417826603,88,0.00499687695190506,1.01180481867549,0.0117356853426035
"231","gonad","cellular amino acid metabolic process",80,0.0054366292898403,88,0.00499687695190506,1.08800543662929,0.0843461453231873
"232","ctenidia","cellular amino acid metabolic process",78,0.00490226887059267,88,0.00499687695190506,0.981066557727359,-0.0191149749013858
"233","heart","wound healing",78,0.00486860994944136,97,0.00550792118562262,0.883928761026925,-0.12337880666542
"234","ctenidia","wound healing",77,0.00483941926968764,97,0.00550792118562262,0.87862899750999,-0.12939254376247
"235","juvenile","telomere organization",77,0.00445679226717601,80,0.00454261541082278,0.98110710771546,-0.0190736431998946
"236","larvae","telomere organization",77,0.00462962962962963,80,0.00454261541082278,1.01915509259259,0.0189739434370385
"237","ctenidia","telomere organization",76,0.0047765696687826,80,0.00454261541082278,1.05150210546163,0.0502197184996783
"238","juvenile","cellular modified amino acid metabolic process",76,0.00439891184812178,76,0.00431548464028164,1.01933205996411,0.0191475696203031
"239","heart","telomere organization",75,0.00468135572061669,80,0.00454261541082278,1.03054194494726,0.0300848240107999
"240","juvenile","meiotic nuclear division",74,0.00428315101001331,79,0.0044858327181875,0.954817372624613,-0.0462351896425485
"241","larvae","cellular modified amino acid metabolic process",73,0.00438912938912939,76,0.00431548464028164,1.01706523252576,0.0169212571192963
"242","larvae","meiotic nuclear division",72,0.00432900432900433,79,0.0044858327181875,0.965039180229054,-0.0355865771937299
"243","gonad","wound healing",71,0.00482500849473327,97,0.00550792118562262,0.876012624749975,-0.132374776334555
"244","gonad","telomere organization",70,0.00475705062861026,80,0.00454261541082278,1.04720523275569,0.0461249325029895
"245","heart","cellular modified amino acid metabolic process",70,0.00436926533924224,76,0.00431548464028164,1.01246226170257,0.0123852469113987
"246","ctenidia","ribosome biogenesis",69,0.00433662246244736,69,0.00391800579183465,1.10684432153856,0.101513012887229
"247","heart","ribosome biogenesis",69,0.00430684726296736,69,0.00391800579183465,1.09924474127707,0.0946233451483709
"248","juvenile","ribosome biogenesis",69,0.00399374891474214,69,0.00391800579183465,1.01933205996411,0.0191475696203031
"249","larvae","ribosome biogenesis",69,0.00414862914862915,69,0.00391800579183465,1.05886243386243,0.0571951562572365
"250","ctenidia","meiotic nuclear division",68,0.00427377286154233,79,0.0044858327181875,0.952726757780025,-0.0484271344036862
